DSS ADDRESS LIST,Division,Area of Operation,LGA Name,Property Group,Number of Beds,Number of Residents,Active Cases,Total Cases,First Dose,Second Dose,Third Dose,Number of People Tested
"1 NEW STREET, HAWTHORN, VIC, 3122",East,South-East,Boroondara City,SRS,31,26,,2,15,15,8,
"10 CHILDERS STREET, KEW, VIC, 3101",East,South-East,Boroondara City,SRS,25,17,,2,13,12,10,
"10 THE AVENUE , FERNTREE GULLY, VIC, 3156",East,North-East,Knox City,SRS,30,25,,1,10,9,9,2
"1019 GLEN HUNTLY ROAD, CAULFIELD, VIC, 3162",South,South-East,Glen Eira City,SRS,31,31,,,5,5,5,4
"1044 MCIVOR HIGHWAY, JUNORTOUN, VIC, 3551",North,Loddon Mallee,Greater Bendigo City,SRS,29,25,,,4,4,4,4
"105 LEXTON STREET, LAKE WENDOUREE, VIC, 3350",West,Grampians,Ballarat City,SRS,12,12,,2,6,6,4,3
"108 MARTIN STREET, BRIGHTON, VIC, 3186",South,South-East,Bayside City,SRS,29,29,,17,7,6,5,34
"1118-1120 MAIN ROAD, ELTHAM, VIC, 3095",North,North-East,Nillumbik Shire,SRS,30,25,,2,8,7,5,1
"116 TYLER STREET, PRESTON, VIC, 3072",North,North-East,Darebin City,SRS,31,33,,2,14,14,14,32
"1168 DANDENONG ROAD, CARNEGIE, VIC, 3163",South,South-East,Glen Eira City,SRS,20,19,,2,11,11,10,29
"124 MAIN HURSTBRIDGE ROAD, DIAMOND CREEK, VIC, 3089",North,North-East,Nillumbik Shire,SRS,25,23,,2,14,14,14,2
"128 PRINCES HIGHWAY, DANDENONG, VIC, 3175",South,South-East,Greater Dandenong City,SRS,30,30,,4,11,10,8,18
"1-3 STRABANE AVENUE, MONT ALBERT NORTH, VIC, 3129",East,North-East,Whitehorse City,SRS,28,8,,,5,4,4,
"132-134 APHRASIA STREET, NEWTOWN, VIC, 3220",West,Barwon,Greater Geelong City,SRS,31,29,,8,5,5,3,
"133-139 HAROLD ROAD, NOBLE PARK, VIC, 3174",South,South-East,Greater Dandenong City,SRS,40,30,,15,10,9,5,40
"133-139 NORMANBY STREET, WARRAGUL, VIC, 3820",South,Gippsland,Baw Baw Shire,SRS,40,30,,11,11,9,5,
"134 ALMA ROAD, ST KILDA EAST, VIC, 3183",South,South-East,Port Phillip City,SRS,41,36,,11,10,10,8,29
"14 BALES STREET, MOUNT WAVERLEY, VIC, 3149",East,North-East,Monash City,SRS,22,10,,,4,4,4,
"14 BARTON STREET, RESERVOIR, VIC, 3073",North,North-East,Darebin City,SRS,22,35,,3,4,4,,8
"14 COMO STREET, ALPHINGTON, VIC, 3078",North,North-East,Yarra City,SRS,27,26,,18,10,10,8,1
"1-4 LINDEN COURT, MORWELL, VIC, 3840",South,Gippsland,Latrobe City,SRS,42,29,,7,22,21,11,
"14 LITHGOW AVENUE, BLACKBURN, VIC, 3130",East,North-East,Whitehorse City,SRS,45,33,,1,7,7,4,3
"1405 HIGH STREET ROAD, WANTIRNA SOUTH, VIC, 3152",East,North-East,Knox City,SRS,45,41,,3,7,3,1,51
"15 MURRAY STREET, NEWCOMB, VIC, 3219",West,Barwon,Greater Geelong City,SRS,42,16,,,2,2,2,
"1-5 PROFITA AVENUE, SYDENHAM, VIC, 3037",West,Western,Brimbank City,SRS,30,15,,18,5,5,4,
"1-5 SUMMIT AVENUE, BELMONT, VIC, 3216",West,Barwon,Greater Geelong City,SRS,42,29,,1,15,15,12,
"153-155 GLADSTONE ROAD, DANDENONG NORTH, VIC, 3175",South,South-East,Greater Dandenong City,SRS,22,22,,3,7,7,4,
"157-161 MOUNT ELIZA WAY, MOUNT ELIZA, VIC, 3930",South,South-East,Mornington Peninsula Shire,SRS,43,25,,1,6,6,3,1
"158-162 LUDSTONE STREET, HAMPTON, VIC, 3188",South,South-East,Bayside City,SRS,40,28,,5,5,5,5,
"15A TOVEY STREET, RESERVOIR, VIC, 3073",North,North-East,Darebin City,SRS,49,40,,3,20,20,12,39
